%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83005.462,300.009,349.851,114.909,-0.017,0.015,5.000
83009.494,300.008,349.851,115.229,-0.001,-0.017,5.000
83005.462,300.008,349.930,115.069,-0.001,-0.007,5.000
83009.494,300.008,349.930,115.229,0.016,0.004,5.000
83009.494,300.009,349.930,115.229,-0.017,-0.007,5.000
83001.431,300.009,350.010,115.550,-0.001,-0.028,5.000
83005.462,300.011,349.930,115.550,-0.001,0.004,5.000
83005.462,300.008,350.010,115.710,0.032,-0.007,5.000
83005.462,300.011,350.010,115.710,-0.017,-0.007,5.000
83009.494,300.009,349.930,115.710,-0.001,-0.007,5.000
83005.462,300.011,349.851,115.710,-0.001,0.004,5.000
83005.462,300.009,349.930,115.870,0.016,0.015,5.000
83001.431,300.011,350.168,115.870,-0.033,0.004,5.000
83001.431,300.011,350.168,115.870,-0.017,0.004,5.000
83001.431,300.009,350.089,115.550,-0.001,0.004,5.000
82993.368,300.009,350.168,115.550,-0.001,-0.007,5.000
82997.399,300.011,350.089,115.390,-0.001,0.015,5.000
83001.431,300.011,350.168,115.229,-0.001,-0.007,5.000
82997.399,300.011,350.247,115.229,0.032,-0.007,5.000
83001.431,300.009,350.010,115.069,-0.017,0.004,5.000
82993.368,300.011,350.089,114.749,-0.001,-0.007,5.000
83001.431,300.009,350.089,114.589,0.016,-0.007,5.000
82993.368,300.009,350.247,114.909,-0.001,0.015,5.000
83005.462,300.012,350.247,114.429,-0.017,0.004,5.000
82997.399,300.014,350.247,114.269,-0.001,-0.007,5.000
83001.431,300.011,350.326,114.269,-0.001,-0.007,5.000
83001.431,300.009,350.168,113.789,-0.001,-0.017,5.000
83005.462,300.009,350.326,113.949,-0.017,-0.007,5.000
82997.399,300.011,350.247,113.468,-0.017,-0.007,5.000
83005.462,300.009,350.168,113.949,-0.001,-0.007,5.000
83009.494,300.012,350.326,113.789,0.016,-0.007,5.000
83005.462,300.011,350.326,113.468,-0.017,0.004,5.000
83005.462,300.011,350.247,113.468,-0.017,0.004,5.000
83005.462,300.009,350.326,113.629,-0.017,0.004,5.000
83009.494,300.011,350.247,113.789,-0.001,-0.007,5.000
83009.494,300.011,350.247,113.468,-0.001,0.004,5.000
83013.525,300.011,350.247,113.789,-0.017,0.015,5.000
83013.525,300.009,350.168,113.789,-0.017,-0.007,5.000
83005.462,300.008,350.326,113.789,0.016,-0.007,5.000
83009.494,300.011,350.168,113.789,0.016,0.004,5.000
83005.462,300.009,350.247,113.949,-0.017,-0.007,5.000
83009.494,300.009,350.168,113.949,0.016,-0.007,5.000
83013.525,300.009,350.326,114.269,0.016,0.004,5.000
83009.494,300.009,350.089,114.269,-0.017,0.004,5.000
83009.494,300.009,350.168,114.429,-0.001,-0.007,5.000
83009.494,300.009,350.089,114.589,-0.001,0.004,5.000
83005.462,300.009,350.168,114.589,-0.001,0.004,5.000
83001.431,300.009,350.010,115.069,-0.001,-0.007,5.000
83001.431,300.009,350.168,115.229,-0.017,-0.007,5.000
83001.431,300.009,350.168,115.390,-0.001,0.015,5.000
83009.494,300.009,350.089,115.390,0.016,-0.007,5.000
83013.525,300.008,350.010,115.550,-0.017,0.004,5.000
83001.431,300.009,350.089,115.710,-0.001,-0.007,5.000
83005.462,300.008,350.089,116.030,-0.033,0.004,5.000
83005.462,300.009,350.010,116.190,-0.017,0.015,5.000
83013.525,300.008,350.089,116.030,0.016,-0.007,5.000
83001.431,300.008,350.010,116.350,0.016,0.004,5.000
83001.431,300.009,349.930,116.670,0.016,0.015,5.000
83001.431,300.006,349.930,116.830,-0.001,-0.007,5.000
83005.462,300.008,350.010,116.991,0.016,0.004,5.000
83001.431,300.008,349.851,116.830,-0.001,0.004,5.000
83009.494,300.006,349.930,116.991,-0.017,0.004,5.000
83009.494,300.008,349.851,116.991,-0.017,0.004,5.000
83005.462,300.009,349.772,117.151,-0.017,-0.007,5.000
83005.462,300.008,349.772,117.151,-0.017,0.004,5.000
83005.462,300.008,349.851,116.991,0.016,0.004,5.000
83001.431,300.009,349.772,116.991,0.016,0.004,5.000
83005.462,300.008,349.693,116.830,0.016,-0.017,5.000
83009.494,300.012,349.772,116.830,0.032,-0.028,5.000
83005.462,300.011,349.693,116.991,-0.017,-0.007,5.000
83001.431,300.009,349.772,116.830,-0.017,-0.007,5.000
83001.431,300.011,349.535,116.350,-0.001,0.004,5.000
83001.431,300.011,349.535,116.350,0.016,0.004,5.000
82997.399,300.012,349.456,116.350,0.016,-0.017,5.000
83005.462,300.012,349.535,116.190,-0.017,-0.007,5.000
83001.431,300.014,349.535,115.870,0.016,-0.007,5.000
83005.462,300.012,349.377,115.870,-0.001,-0.007,5.000
83005.462,300.011,349.456,115.710,-0.001,-0.017,5.000
83001.431,300.012,349.298,115.550,-0.017,0.004,5.000
83009.494,300.014,349.377,115.229,0.016,-0.007,5.000
83005.462,300.014,349.298,115.229,-0.017,-0.007,5.000
83005.462,300.012,349.377,114.909,-0.017,0.004,5.000
83005.462,300.014,349.219,114.749,-0.001,0.004,5.000
83001.431,300.014,348.982,114.749,-0.001,0.004,5.000
83005.462,300.014,349.219,114.429,0.016,0.004,5.000
83005.462,300.012,349.219,114.429,0.016,0.004,5.000
83009.494,300.012,349.140,114.269,0.016,0.004,5.000
83001.431,300.014,348.982,114.429,-0.050,0.004,5.000
83001.431,300.012,349.140,114.109,-0.001,-0.017,5.000
83005.462,300.012,349.061,114.109,-0.017,0.004,5.000
83001.431,300.014,348.982,113.949,-0.017,-0.007,5.000
83005.462,300.016,348.982,114.109,-0.001,0.015,5.000
83001.431,300.012,348.903,113.949,-0.001,0.004,5.000
83005.462,300.011,348.745,114.109,-0.033,-0.017,5.000
83001.431,300.011,348.824,114.109,-0.017,0.015,5.000
82997.399,300.012,348.824,114.269,-0.001,0.004,5.000
83005.462,300.009,348.824,114.429,-0.001,-0.028,5.000
83001.431,300.012,348.824,114.109,0.016,-0.007,5.000
83001.431,300.012,348.745,114.269,0.032,-0.007,5.000
82997.399,300.011,348.824,114.589,-0.001,-0.007,5.000
83005.462,300.011,348.824,114.589,-0.001,0.004,5.000
83001.431,300.011,348.745,114.429,-0.001,0.004,5.000
82997.399,300.009,348.824,114.909,0.016,0.004,5.000
83001.431,300.011,348.587,114.589,-0.001,0.004,5.000
83009.494,300.011,348.824,114.909,-0.001,0.004,5.000
83009.494,300.008,348.745,115.069,-0.001,-0.007,5.000
83001.431,300.009,348.666,115.069,0.016,-0.007,5.000
83005.462,300.006,348.903,115.069,0.016,0.004,5.000
83009.494,300.008,348.745,115.390,-0.001,0.004,5.000
83005.462,300.012,348.666,115.390,-0.017,0.004,5.000
83001.431,300.009,348.745,115.390,-0.001,0.004,5.000
83005.462,300.011,348.745,115.550,-0.033,-0.007,5.000
83009.494,300.006,348.745,115.390,0.016,0.015,5.000
83009.494,300.006,348.824,115.390,-0.001,0.004,5.000
83001.431,300.006,348.745,115.710,-0.017,-0.007,5.000
83005.462,300.006,348.903,115.710,-0.017,0.015,5.000
83005.462,300.011,348.824,115.390,-0.001,0.015,5.000
83005.462,300.009,348.824,115.710,-0.017,0.004,5.000
83017.556,300.009,348.982,115.550,-0.001,0.015,5.000
83009.494,300.008,348.903,115.870,-0.001,0.004,5.000
83009.494,300.011,349.061,115.550,-0.033,0.004,5.000
